Original,Translated,English,Bracket
baby potatoes,baby potatoes,baby potatoes,
nagkesar/cassia buds,nagkesar/cassia buds,nagkesar/cassia buds,
रोस्टेड टोमेटो सॉस,roasted tomato sauce,roasted tomato sauce,rosteda tometo saॉsa
kapok buds,kapok buds,kapok buds,
ginger teriyaki sauce,ginger teriyaki sauce,ginger teriyaki sauce,
chana dal,chana dal,chana dal,
green beans (french beans),green beans (french beans),green beans,french beans
fresh raspberries,fresh raspberries,fresh raspberries,
red bell pepper (capsicum),red bell pepper (capsicum),red bell pepper,capsicum
pastry dough,pastry dough,pastry dough,
brandy,brandy,brandy,
neem leaves,neem leaves,neem leaves,
sesame oil,sesame oil,sesame oil,
indian butter fish,indian butter fish,indian butter fish,
प्रॉन,prawn,prawn,praॉna
spring onion greens,spring onion greens,spring onion greens,
लवंग,lavang,lavang,lavamga
tutti frutti ice cream,tutti frutti ice cream,tutti frutti ice cream,
mor milagai (dried green chillies),mor milagai (dried green chillies),mor milagai,dried green chillies
दही का चक्का,curd,curd,dahi ka chakka
गुलकंद,gulkand,gulkand,gulakamda
ice cream cone,ice cream cone,ice cream cone,
सेव,save,save,seva
salt,salt,salt,
mango (raw),mango (raw),mango,raw
dry corn kernals,dry corn kernals,dry corn kernals,
oranges,oranges,oranges,
tabasco original - hot sauce,tabasco original - hot sauce,tabasco original - hot sauce,
red wine vinaigrette,red wine vinaigrette,red wine vinaigrette,
डेट्स,dates,dates,detsa
fresh fruits,fresh fruits,fresh fruits,
roasted gram dal (pottukadalai),roasted gram dal (pottukadalai),roasted gram dal,pottukadalai
अरबी के पत्ते,arabic leaves,arabic leaves,arabi ke patte
radish,radish,radish,
बीसी बेले भात पाउडर,bc belle bhat powder,bc belle bhat powder,bisi bele bhata paudara
ब्रेड,bread,bread,breda
sundried tomatoes,sundried tomatoes,sundried tomatoes,
kakroda,kakroda,kakroda,
del monte whole corn kernels,del monte whole corn kernels,del monte whole corn kernels,
green beans,green beans,green beans,
चावल,rice,rice,chavala
potatoes (aloo),potatoes (aloo),potatoes,aloo
harissa paste,harissa paste,harissa paste,
homemade hummus,homemade hummus,homemade hummus,
गुड,good,good,guda
सुखी कश्मीरी मिर्च,dry kashmiri chilli,dry kashmiri chilli,sukhi kashmiri mircha
split methi seeds (methi kuria),split methi seeds (methi kuria),split methi seeds,methi kuria
goan recheado masala,goan recheado masala,goan recheado masala,
sprig extract of natural bourbon vanilla,sprig extract of natural bourbon vanilla,sprig extract of natural bourbon vanilla,
dry red chillies,dry red chillies,dry red chillies,
wheat bran,wheat bran,wheat bran,
cucumbers,cucumbers,cucumbers,
oil,oil,oil,
मेथी के दाने,fenugreek seeds,fenugreek seeds,methi ke dane
phyllo sheets,phyllo sheets,phyllo sheets,
dried oregano,dried oregano,dried oregano,
chinese cabbage,chinese cabbage,chinese cabbage,
halloumi cheese,halloumi cheese,halloumi cheese,
alu bukhara,alu bukhara,alu bukhara,
garlic salt,garlic salt,garlic salt,
ऑरेंज रंग,orange color,orange color,ऑremja ramga
रेड चिल्ली सॉस,red chilli sauce,red chilli sauce,reda chilli saॉsa
avarekalu,avarekalu,avarekalu,
butter,butter,butter,
congee powder,congee powder,congee powder,
maize dalia (broken corn meal),maize dalia (broken corn meal),maize dalia,broken corn meal
watermelon seeds,watermelon seeds,watermelon seeds,
chipotle peppers,chipotle peppers,chipotle peppers,
hazelnut,hazelnut,hazelnut,
leek,leek,leek,
sesame seeds (til seeds),sesame seeds (til seeds),sesame seeds,til seeds
wheat grass powder,wheat grass powder,wheat grass powder,
cheese spread,cheese spread,cheese spread,
kasuri methi (dried fenugreek leaves),kasuri methi (dried fenugreek leaves),kasuri methi,dried fenugreek leaves
coffee decoction,coffee decoction,coffee decoction,
red radish,red radish,red radish,
thandai powder,thandai powder,thandai powder,
fresh coconut,fresh coconut,fresh coconut,
soybeans (whole soya dal),soybeans (whole soya dal),soybeans,whole soya dal
poha,poha,poha,
lime wedges,lime wedges,lime wedges,
watermelon,watermelon,watermelon,
sooji (semolina/ rava),sooji (semolina/ rava),sooji,semolina/ rava
ऐश लौकी,ash gourd,ash gourd,aisha lauki
arborio rice,arborio rice,arborio rice,
sorrel leaves (gongura),sorrel leaves (gongura),sorrel leaves,gongura
corn flour tortilla,corn flour tortilla,corn flour tortilla,
hard taco shells,hard taco shells,hard taco shells,
red amaranth leaves,red amaranth leaves,red amaranth leaves,
barley flour,barley flour,barley flour,
mayo,mayo,mayo,
रतन जोट,ratan jot,ratan jot,ratana jota
puffed grains,puffed grains,puffed grains,
sambal oelek,sambal oelek,sambal oelek,
हरे प्याज के पत्ते,green onion leaves,green onion leaves,hare pyaja ke patte
arhar dal (split toor dal),arhar dal (split toor dal),arhar dal,split toor dal
horse gram flour,horse gram flour,horse gram flour,
dry white wine,dry white wine,dry white wine,
cherries,cherries,cherries,
rolled oats or instant oats,rolled oats or instant oats,rolled oats or instant oats,
raw peanuts (moongphali),raw peanuts (moongphali),raw peanuts,moongphali
pizza seasoning,pizza seasoning,pizza seasoning,
cold water,cold water,cold water,
किशमिश,raisin,raisin,kishamisha
swiss cheese,swiss cheese,swiss cheese,
custard apple (sitaphal),custard apple (sitaphal),custard apple,sitaphal
white beans,white beans,white beans,
सिंघाड़े का आटा,water chestnut flour,water chestnut flour,simgha.de ka ata
del monte tricolour spirali pasta,del monte tricolour spirali pasta,del monte tricolour spirali pasta,
लहसुन वाला मक्खन,garlic butter,garlic butter,lahasuna vala makkhana
shrimps,shrimps,shrimps,
pumpkin leaves,pumpkin leaves,pumpkin leaves,
hara chana,hara chana,hara chana,
mandi,mandi,mandi,
savoiardi,savoiardi,savoiardi,
lentil water,lentil water,lentil water,
काला चना,black gram,black gram,kala chana
sama flour (little millet),sama flour (little millet),sama flour,little millet
caramel sauce,caramel sauce,caramel sauce,
horseradish,horseradish,horseradish,
potato chips,potato chips,potato chips,
aerated water (soda water),aerated water (soda water),aerated water,soda water
vivatta flour,vivatta flour,vivatta flour,
तेज पत्ता,bay leaf,bay leaf,teja patta
bay leaf (tej patta),bay leaf (tej patta),bay leaf,tej patta
beetel leaves,beetel leaves,beetel leaves,
rose water,rose water,rose water,
चॉकलेट बार,chocolate bar,chocolate bar,chaॉkaleta bara
britannia cheese cubes,britannia cheese cubes,britannia cheese cubes,
dried red chilli,dried red chilli,dried red chilli,
roasted tomato pasta sauce,roasted tomato pasta sauce,roasted tomato pasta sauce,
badi hari mirch (large green chilli),badi hari mirch (large green chilli),badi hari mirch,large green chilli
आलू,potato,potato,alu
कास्टर शक्कर,castor sugar,castor sugar,kastara shakkara
dry coconut,dry coconut,dry coconut,
mixed herbs,mixed herbs,mixed herbs,
jhangora,jhangora,jhangora,
candy sugar,candy sugar,candy sugar,
fresh cream,fresh cream,fresh cream,
अखरोट,walnut,walnut,akharota
brahmi leaves,brahmi leaves,brahmi leaves,
ragi flour,ragi flour,ragi flour,
bean sprouts,bean sprouts,bean sprouts,
black pepper powder,black pepper powder,black pepper powder,
coriander powder (dhania),coriander powder (dhania),coriander powder,dhania
kalmatta olives,kalmatta olives,kalmatta olives,
tarragon,tarragon,tarragon,
avocado,avocado,avocado,
onions,onions,onions,
bamboo shoots,bamboo shoots,bamboo shoots,
egg white,egg white,egg white,
almond powder,almond powder,almond powder,
balsamic vinegar,balsamic vinegar,balsamic vinegar,
mother's recipe ginger garlic paste,mother's recipe ginger garlic paste,mother's recipe ginger garlic paste,
मुरमुरा,murmura,murmura,muramura
कच्चा टमाटर,raw tomatoes,raw tomatoes,kachcha tamatara
coconut flour,coconut flour,coconut flour,
goat brain,goat brain,goat brain,
veeba pizza & pasta sauce,veeba pizza & pasta sauce,veeba pizza & pasta sauce,
bulgur wheat,bulgur wheat,bulgur wheat,
hung curd,hung curd,hung curd,
extra virgin olive oil,extra virgin olive oil,extra virgin olive oil,
nongu,nongu,nongu,
cloves,cloves,cloves,
मूली के पत्ते,radish leaves,radish leaves,muli ke patte
वनीला एक्सट्रेक्ट,vanilla extract,vanilla extract,vanila eksatrekta
right noodles,right noodles,right noodles,
foxtail millet,foxtail millet,foxtail millet,
slice of brown bread (ground to get fresh bread crumbs),slice of brown bread (ground to get fresh bread crumbs),slice of brown bread,ground to get fresh bread crumbs
ker,ker,ker,
khus syrup,khus syrup,khus syrup,
gram flour,gram flour,gram flour,
nutralite garlic & oregano spread,nutralite garlic & oregano spread,nutralite garlic & oregano spread,
fresh green toor dal (pigeon pea),fresh green toor dal (pigeon pea),fresh green toor dal,pigeon pea
chocolate pearls,chocolate pearls,chocolate pearls,
betel leaves (paan),betel leaves (paan),betel leaves,paan
mint leaves,mint leaves,mint leaves,
pomegranate,pomegranate,pomegranate,
pointed gourd,pointed gourd,pointed gourd,
dark soy sauce,dark soy sauce,dark soy sauce,
शिमला मिर्च (लाल),capsicum,capsicum,shimala mircha (lala)
mustard sauce,mustard sauce,mustard sauce,
banana stem,banana stem,banana stem,
sprig ginger teriyaki sauce,sprig ginger teriyaki sauce,sprig ginger teriyaki sauce,
भिन्डी (ओखरा),bindi (okhra),bindi,bhindi (okhara)
dragon fruit (pitaya),dragon fruit (pitaya),dragon fruit,pitaya
english cucumber,english cucumber,english cucumber,
rolled oats,rolled oats,rolled oats,
bhindi,bhindi,bhindi,
गोडा मसाला,goda masala,goda masala,goda masala
big cardamom,big cardamom,big cardamom,
kolhapuri khanda lasun masala,kolhapuri khanda lasun masala,kolhapuri khanda lasun masala,
chocolate cake,chocolate cake,chocolate cake,
almond meal (badam powder),almond meal (badam powder),almond meal,badam powder
seven up,seven up,seven up,
सोयाा सॉस,soya sauce,soya sauce,soyaa saॉsa
ragi flour (finger millet/ nagli),ragi flour (finger millet/ nagli),ragi flour,finger millet/ nagli
whiskey,whiskey,whiskey,
nylon sabakki,nylon sabakki,nylon sabakki,
apple puree,apple puree,apple puree,
hilsa fish,hilsa fish,hilsa fish,
aubergine,aubergine,aubergine,
bajra flour,bajra flour,bajra flour,
coriander leaves,coriander leaves,coriander leaves,
ridge gourd (turai / peerkangai),ridge gourd (turai / peerkangai),ridge gourd,turai / peerkangai
white cashew nuts,white cashew nuts,white cashew nuts,
mozzarella cheese,mozzarella cheese,mozzarella cheese,
broken wheat (dalia/ godumai rava),broken wheat (dalia/ godumai rava),broken wheat,dalia/ godumai rava
fresh green chickpeas,fresh green chickpeas,fresh green chickpeas,
sweet and spicy red chilli sauce (tomato chilli sauce),sweet and spicy red chilli sauce (tomato chilli sauce),sweet and spicy red chilli sauce,tomato chilli sauce
पार्सले,parsley,parsley,parsale
ड्राई फ्रूट्स,dry fruits,dry fruits,drai phrutsa
onions (semolina/ rava),onions (semolina/ rava),onions,semolina/ rava
flax seed powder,flax seed powder,flax seed powder,
nutralite classic spread,nutralite classic spread,nutralite classic spread,
चंडी का वर्क,chandi work,chandi work,chamdi ka varka
molasses,molasses,molasses,
colocasia,colocasia,colocasia,
turmeric leaves,turmeric leaves,turmeric leaves,
green chawli beans (yard long beans/karamani/barbati),green chawli beans (yard long beans/karamani/barbati),green chawli beans,yard long beans/karamani/barbati
gourd,gourd,gourd,
kalpasi flower (stone flower),kalpasi flower (stone flower),kalpasi flower,stone flower
jowar grains,jowar grains,jowar grains,
मोरिंगा या सहजन की फली,moringa or drumstick pod,moringa or drumstick pod,morimga ya sahajana ki phali
tamarind chutney,tamarind chutney,tamarind chutney,
veeba peri peri sauce,veeba peri peri sauce,veeba peri peri sauce,
ice,ice,ice,
del monte cheesy garlic mayo,del monte cheesy garlic mayo,del monte cheesy garlic mayo,
नोल नोल,nolon,nolon,nola nola
kala chana (brown chickpeas),kala chana (brown chickpeas),kala chana,brown chickpeas
lentils,lentils,lentils,
pointed gourd (parval),pointed gourd (parval),pointed gourd,parval
mint pesto,mint pesto,mint pesto,
raw papaya,raw papaya,raw papaya,
mustard,mustard,mustard,
लाल प्याज,red onion,red onion,lala pyaja
tofu,tofu,tofu,
kolhapuri khanda garlic masala,kolhapuri khanda garlic masala,kolhapuri khanda garlic masala,
vangi bhaat powder,vangi bhaat powder,vangi bhaat powder,
oats,oats,oats,
slivered almonds (badam),slivered almonds (badam),slivered almonds,badam
citric acid crystals,citric acid crystals,citric acid crystals,
chichinda,chichinda,chichinda,
goat cheese,goat cheese,goat cheese,
cantaloupe,cantaloupe,cantaloupe,
khoya (mawa),khoya (mawa),khoya,mawa
seer fish,seer fish,seer fish,
bacon,bacon,bacon,
nutralite cheesy garlic mayo,nutralite cheesy garlic mayo,nutralite cheesy garlic mayo,
सी नमक,crush,crush,si namaka
lemon grass,lemon grass,lemon grass,
sweet chutney (date & tamarind),sweet chutney (date & tamarind),sweet chutney,date & tamarind
fresh red chillies,fresh red chillies,fresh red chillies,
white tea,white tea,white tea,
ricotta cheese,ricotta cheese,ricotta cheese,
jackfruit seeds (kathal),jackfruit seeds (kathal),jackfruit seeds,kathal
मोज़रेला चीज़,mosaic cheese,mosaic cheese,mozarela chiza
black currant ice cream,black currant ice cream,black currant ice cream,
baby potato,baby potato,baby potato,
ब्रेड क्रम्ब्स,bread serbes,bread serbes,breda krambsa
रायता मसाला,raita masala,raita masala,rayata masala
dark rum,dark rum,dark rum,
mango shrikhand,mango shrikhand,mango shrikhand,
peaches,peaches,peaches,
long string bean (chavli),long string bean (chavli),long string bean,chavli
linguine pasta,linguine pasta,linguine pasta,
sundakkai (turkey berries),sundakkai (turkey berries),sundakkai,turkey berries
french loaf,french loaf,french loaf,
black urad dal (whole),black urad dal (whole),black urad dal,whole
wood apple (bael fruit),wood apple (bael fruit),wood apple,bael fruit
हरी,green,green,hari
clove powder (laung),clove powder (laung),clove powder,laung
शेजवान सॉस,shejwan sauce,shejwan sauce,shejavana saॉsa
sabudana,sabudana,sabudana,
kashmiri red chili powder,kashmiri red chili powder,kashmiri red chili powder,
papad khar,papad khar,papad khar,
red chilli powder,red chilli powder,red chilli powder,
methi leaves (fenugreek leaves),methi leaves (fenugreek leaves),methi leaves,fenugreek leaves
britannia cheese spread - classic,britannia cheese spread - classic,britannia cheese spread - classic,
drumstick leaves,drumstick leaves,drumstick leaves,
green capsicum,green capsicum,green capsicum,
black salt or rock salt,black salt or rock salt,black salt or rock salt,
boiled peanuts,boiled peanuts,boiled peanuts,
rice noodles,rice noodles,rice noodles,
puff pastry sheet,puff pastry sheet,puff pastry sheet,
white urad dal (whole),white urad dal (whole),white urad dal,whole
sherry,sherry,sherry,
toor dal,toor dal,toor dal,
tindora,tindora,tindora,
fennel powder,fennel powder,fennel powder,
wheat germ,wheat germ,wheat germ,
rye flour,rye flour,rye flour,
alum,alum,alum,
lotus cucumber,lotus cucumber,lotus cucumber,
fennel seeds (saunf),fennel seeds (saunf),fennel seeds,saunf
homemade hoisin sauce,homemade hoisin sauce,homemade hoisin sauce,
tortillas,tortillas,tortillas,
white vinegar,white vinegar,white vinegar,
drumstick leaves (moringa/murungai keerai),drumstick leaves (moringa/murungai keerai),drumstick leaves,moringa/murungai keerai
asafoetida (hing);,asafoetida (hing);,asafoetida ;,hing
semiya (vermicelli),semiya (vermicelli),semiya,vermicelli
kanchagolla,kanchagolla,kanchagolla,
फॉक्सटेल मिलेट,foxtel milllet,foxtel milllet,phaॉksatela mileta
orange essence,orange essence,orange essence,
canned cherries,canned cherries,canned cherries,
बटन मशरुम,button mushroom,button mushroom,batana masharuma
salmon fillet,salmon fillet,salmon fillet,
naan,naan,naan,
अमरांथ के पत्ते,hello leaves,hello leaves,amaramtha ke patte
light soy sauce,light soy sauce,light soy sauce,
wheat flour,wheat flour,wheat flour,
red yellow or green bell pepper (capsicum),red yellow or green bell pepper (capsicum),red yellow or green bell pepper,capsicum
खोया,luxurious,luxurious,khoya
सब्ज़िया,sabzia,sabzia,sabziya
carrot (gajjar),carrot (gajjar),carrot,gajjar
macaroni pasta,macaroni pasta,macaroni pasta,
small brinjal (bean / eggplant),small brinjal (bean / eggplant),small brinjal,bean / eggplant
एक्टिव ड्राई यीस्ट,active dry yeast,active dry yeast,ektiva drai yista
mace,mace,mace,
mackerel fish,mackerel fish,mackerel fish,
caramelized onions,caramelized onions,caramelized onions,
thai green curry paste,thai green curry paste,thai green curry paste,
turkey berries,turkey berries,turkey berries,
makki ka atta (yellow corn meal flour),makki ka atta (yellow corn meal flour),makki ka atta,yellow corn meal flour
sambal paste,sambal paste,sambal paste,
लाइम फली,lime pod,lime pod,laima phali
mango pulp (puree),mango pulp (puree),mango pulp,puree
yellow food colour,yellow food colour,yellow food colour,
capsicum(green),capsicum(green),capsicum,green
orange pulp,orange pulp,orange pulp,
sambar powder,sambar powder,sambar powder,
pearl onions (sambar onions),pearl onions (sambar onions),pearl onions,sambar onions
quinoa penne pasta,quinoa penne pasta,quinoa penne pasta,
green olives,green olives,green olives,
beetroots,beetroots,beetroots,
चिकन स्टॉक,chicken stock,chicken stock,chikana staॉka
hing,hing,hing,
quinoa,quinoa,quinoa,
अंजीर,fig,fig,amjira
खस खस,khas poppy,khas poppy,khasa khasa
ginger juice,ginger juice,ginger juice,
french bread,french bread,french bread,
strawberry compote,strawberry compote,strawberry compote,
pistachio extract,pistachio extract,pistachio extract,
थाई बेसिल के पत्ते,thai basil leaves,thai basil leaves,thai besila ke patte
fresh orange juice,fresh orange juice,fresh orange juice,
dried green peas (vatana),dried green peas (vatana),dried green peas,vatana
granola,granola,granola,
pecans,pecans,pecans,
kalonji (onion nigella seeds). ),kalonji (onion nigella seeds). ),kalonji . ),onion nigella seeds
red romaine lettuce,red romaine lettuce,red romaine lettuce,
हल्दि,haldi,haldi,haldi
छास,chas,chas,chasa
orange marmalade jam,orange marmalade jam,orange marmalade jam,
soup buns,soup buns,soup buns,
vermicelli,vermicelli,vermicelli,
gunda,gunda,gunda,
pav bhaji masala,pav bhaji masala,pav bhaji masala,
coriander powder (dhania). ),coriander powder (dhania). ),coriander powder . ),dhania
kashmiri dry red chilli,kashmiri dry red chilli,kashmiri dry red chilli,
portobello mushrooms,portobello mushrooms,portobello mushrooms,
white pepper powder,white pepper powder,white pepper powder,
breast milk or formula,breast milk or formula,breast milk or formula,
cumin,cumin,cumin,
peanut oil,peanut oil,peanut oil,
red chillies powder,red chillies powder,red chillies powder,
chicken keema,chicken keema,chicken keema,
brie cheese,brie cheese,brie cheese,
thai red curry paste,thai red curry paste,thai red curry paste,
रेड वाइन विनेगरेट,red wine vinegret,red wine vinegret,reda vaina vinegareta
malabar spinach leaves,malabar spinach leaves,malabar spinach leaves,
alfalfa powder,alfalfa powder,alfalfa powder,
capers,capers,capers,
छोटे प्याज,small onion,small onion,chote pyaja
thandai masala,thandai masala,thandai masala,
stone flower,stone flower,stone flower,
basil seeds (sabja),basil seeds (sabja),basil seeds,sabja
rasgulla syrup,rasgulla syrup,rasgulla syrup,
bread rusks,bread rusks,bread rusks,
sultana raisins,sultana raisins,sultana raisins,
emami rice bran oil,emami rice bran oil,emami rice bran oil,
black urad dal,black urad dal,black urad dal,
kabuli chana,kabuli chana,kabuli chana,
green bell pepper (capsicum),green bell pepper (capsicum),green bell pepper,capsicum
jello,jello,jello,
oyster sauce,oyster sauce,oyster sauce,
sweetened coconut flakes,sweetened coconut flakes,sweetened coconut flakes,
vada,vada,vada,
blanched tomatoes,blanched tomatoes,blanched tomatoes,
लहसुन चटनी,garlic chutney,garlic chutney,lahasuna chatani
chocolate shavings,chocolate shavings,chocolate shavings,
red wine,red wine,red wine,
eggless mayonnaise,eggless mayonnaise,eggless mayonnaise,
brown sugar,brown sugar,brown sugar,
nilla cookies,nilla cookies,nilla cookies,
डीजोन मस्टर्ड,dizon mustard,dizon mustard,dijona mastarda
amul whipping cream,amul whipping cream,amul whipping cream,
पाइनएप्पल,pineapple,pineapple,painaeppala
bell pepper (green),bell pepper (green),bell pepper,green
prawns,prawns,prawns,
boondi,boondi,boondi,
basa fish,basa fish,basa fish,
double cream,double cream,double cream,
phyllo tartlet cups,phyllo tartlet cups,phyllo tartlet cups,
tapioca flour (sago),tapioca flour (sago),tapioca flour,sago
ओलिव,olive,olive,oliva
guava juice,guava juice,guava juice,
ragi seeds,ragi seeds,ragi seeds,
artichokes,artichokes,artichokes,
लहुसन,rhuson,rhuson,lahusana
red chilli flakes,red chilli flakes,red chilli flakes,
अमचूर पाउडर,amchur powder,amchur powder,amachura paudara
pickle,pickle,pickle,
mint powder (pudina),mint powder (pudina),mint powder,pudina
milk,milk,milk,
dry mix herbs,dry mix herbs,dry mix herbs,
momos,momos,momos,
amla,amla,amla,
graham cracker crumbs,graham cracker crumbs,graham cracker crumbs,
sundakai,sundakai,sundakai,
toor dal or chana dal,toor dal or chana dal,toor dal or chana dal,
मिक्स्ड मसाला,mixed masala,mixed masala,miksda masala
धनिया पाउडर,coriander powder,coriander powder,dhaniya paudara
all purpose flour (maida),all purpose flour (maida),all purpose flour,maida
butter (unsalted),butter (unsalted),butter,unsalted
homemade pizza dough,homemade pizza dough,homemade pizza dough,
amchur (dry mango powder),amchur (dry mango powder),amchur,dry mango powder
gingerly oil,gingerly oil,gingerly oil,
half and half,half and half,half and half,
horlicks,horlicks,horlicks,
salad leaves,salad leaves,salad leaves,
long green brinjal,long green brinjal,long green brinjal,
aloo tikki (potato),aloo tikki (potato),aloo tikki,potato
split mustard seeds (rai kuria),split mustard seeds (rai kuria),split mustard seeds,rai kuria
ridge gourd skin (turai/ peerkangai),ridge gourd skin (turai/ peerkangai),ridge gourd skin,turai/ peerkangai
honey,honey,honey,
kokums,kokums,kokums,
soya chaap,soya chaap,soya chaap,
phulka,phulka,phulka,
jam,jam,jam,
white hibiscus leaves,white hibiscus leaves,white hibiscus leaves,
green coffee beans,green coffee beans,green coffee beans,
कश्मीरी लाल मिर्च,kashmiri red chili,kashmiri red chili,kashmiri lala mircha
chayote,chayote,chayote,
bell pepper (yellow),bell pepper (yellow),bell pepper,yellow
खुस खुस,khus khus,khus khus,khusa khusa
काले तिल,black mole,black mole,kale tila
sage,sage,sage,
carrots,carrots,carrots,
aar maach (fish),aar maach (fish),aar maach,fish
kiwi,kiwi,kiwi,
kodo millet,kodo millet,kodo millet,
idli rice,idli rice,idli rice,
malt vinegar,malt vinegar,malt vinegar,
edible camphor,edible camphor,edible camphor,
जीरा पाउडर,cumin powder,cumin powder,jira paudara
kolhapuri masala,kolhapuri masala,kolhapuri masala,
britannia cheezza,britannia cheezza,britannia cheezza,
ras el hanout spice blend,ras el hanout spice blend,ras el hanout spice blend,
sichuan peppercorns,sichuan peppercorns,sichuan peppercorns,
pickle mayo,pickle mayo,pickle mayo,
कंडेन्स दूध,condenses milk,condenses milk,kamdensa dudha
yellow squash,yellow squash,yellow squash,
sponge cake slice,sponge cake slice,sponge cake slice,
britannia cheese slice,britannia cheese slice,britannia cheese slice,
date syrup,date syrup,date syrup,
wonton wraps,wonton wraps,wonton wraps,
rice paper rolls,rice paper rolls,rice paper rolls,
gulab jamun,gulab jamun,gulab jamun,
coriander (dhania) leaves,coriander (dhania) leaves,coriander  leaves,dhania
पुरे काली मिर्च मकई,entire black pepper corn,entire black pepper corn,pure kali mircha makai
govind bhog rice,govind bhog rice,govind bhog rice,
bajra (seeds),bajra (seeds),bajra,seeds
sour cream,sour cream,sour cream,
mutton kheema,mutton kheema,mutton kheema,
सफ़ेद मटर (सूखा),white peas (drought),white peas,safeda matara (sukha)
masoor dal (whole),masoor dal (whole),masoor dal,whole
nutella spread,nutella spread,nutella spread,
sesame seeds (white),sesame seeds (white),sesame seeds,white
rasgulla,rasgulla,rasgulla,
soy granules,soy granules,soy granules,
tamarind paste,tamarind paste,tamarind paste,
turnips,turnips,turnips,
गुड़,jaggery,jaggery,gu.da
pineapple essence,pineapple essence,pineapple essence,
cutlets,cutlets,cutlets,
tender coconut meat,tender coconut meat,tender coconut meat,
food color,food color,food color,
मिर्ची पाउडर,chilli powder,chilli powder,mirchi paudara
राइ,rye,rye,rai
almonds,almonds,almonds,
cabbage (patta gobi/ mutton,cabbage (patta gobi/ mutton,cabbage (patta gobi/ mutton,
whole egg,whole egg,whole egg,
durum wheat penne pasta,durum wheat penne pasta,durum wheat penne pasta,
tomato puree,tomato puree,tomato puree,
बादाम,almond,almond,badama
ब्यादगी लाल मिर्च,gentle red chili,gentle red chili,byadagi lala mircha
baileys irish cream,baileys irish cream,baileys irish cream,
kashmiri red chillies,kashmiri red chillies,kashmiri red chillies,
loose leaf tea,loose leaf tea,loose leaf tea,
spirulina,spirulina,spirulina,
samosas,samosas,samosas,
raw peanuts ( moongphali),raw peanuts ( moongphali),raw peanuts, moongphali
provolone cheese,provolone cheese,provolone cheese,
green chili,green chili,green chili,
crackers,crackers,crackers,
गोबी,gobi,gobi,gobi
mayonnaise,mayonnaise,mayonnaise,
britannia cheese spread - mexican chilli,britannia cheese spread - mexican chilli,britannia cheese spread - mexican chilli,
चीज़,thing,thing,chiza
सोया चंक्स,soy chunks,soy chunks,soya chamksa
whole eggs,whole eggs,whole eggs,
whole black pepper corns,whole black pepper corns,whole black pepper corns,
semiya,semiya,semiya,
gouda cheese,gouda cheese,gouda cheese,
byadagi red chillies,byadagi red chillies,byadagi red chillies,
yellow zucchini,yellow zucchini,yellow zucchini,
vanilla ice cream,vanilla ice cream,vanilla ice cream,
lemon pound cake,lemon pound cake,lemon pound cake,
कढ़ी पत्ता,kadhi leaf,kadhi leaf,kaढ़i patta
jowar seeds,jowar seeds,jowar seeds,
ginger powder,ginger powder,ginger powder,
pecorino romano cheese,pecorino romano cheese,pecorino romano cheese,
sugar snap peas,sugar snap peas,sugar snap peas,
sev,sev,sev,
mishti doi,mishti doi,mishti doi,
sesame gingerly oil,sesame gingerly oil,sesame gingerly oil,
coconut sugar,coconut sugar,coconut sugar,
sesame (gingelly) oil,sesame (gingelly) oil,sesame  oil,gingelly
aachi fish masala,aachi fish masala,aachi fish masala,
veeba sriracha sauce,veeba sriracha sauce,veeba sriracha sauce,
green chutney,green chutney,green chutney,
plum sauce,plum sauce,plum sauce,
hack noodles,hack noodles,hack noodles,
tagliatelle pasta,tagliatelle pasta,tagliatelle pasta,
moth sprouts (matki),moth sprouts (matki),moth sprouts,matki
kashmiri red chilli,kashmiri red chilli,kashmiri red chilli,
rajgira flour (amaranth flour),rajgira flour (amaranth flour),rajgira flour,amaranth flour
plantain stem,plantain stem,plantain stem,
mixed spices,mixed spices,mixed spices,
champagne,champagne,champagne,
white garbanzo,white garbanzo,white garbanzo,
tea bags,tea bags,tea bags,
rock salt,rock salt,rock salt,
amaranth leaves,amaranth leaves,amaranth leaves,
लेटस,latus,latus,letasa
black beans,black beans,black beans,
cranberry juice,cranberry juice,cranberry juice,
manathakkali kai vathal,manathakkali kai vathal,manathakkali kai vathal,
ग़ुड,gud,gud,guda
छोटे प्याज़ सांबर वाले,small onion sambar,small onion sambar,chote pyaza sambara vale
kimchi,kimchi,kimchi,
नोल नोल के पत्ते,nolumin leaves,nolumin leaves,nola nola ke patte
dark chocolate chips,dark chocolate chips,dark chocolate chips,
barnyard millet,barnyard millet,barnyard millet,
greens,greens,greens,
kitkat bars,kitkat bars,kitkat bars,
sardine fish,sardine fish,sardine fish,
chilli garlic sauce,chilli garlic sauce,chilli garlic sauce,
almond milk (badam milk),almond milk (badam milk),almond milk,badam milk
onion powder,onion powder,onion powder,
chivda,chivda,chivda,
enos fruit salt,enos fruit salt,enos fruit salt,
चकुंदर,chakundar,chakundar,chakumdara
burger buns,burger buns,burger buns,
homemade pizza and pasta sauce,homemade pizza and pasta sauce,homemade pizza and pasta sauce,
gorgonzola cheese,gorgonzola cheese,gorgonzola cheese,
hot dog bread,hot dog bread,hot dog bread,
nigella seeds,nigella seeds,nigella seeds,
pumpkin puree,pumpkin puree,pumpkin puree,
बादाम का दूध,almond milk,almond milk,badama ka dudha
beetroot dip,beetroot dip,beetroot dip,
